"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Max Scherzer","Nationals","10","8","0","20","20","143.0","10.45","1.01","0.82",".254","79.2 %","34.4 %","7.7 %","2.33","2.34","2.81","4.8","3137"
"Clayton Kershaw","Dodgers","8","6","0","20","20","140.0","11.89","1.74","0.71",".295","75.5 %","52.7 %","13.8 %","2.51","2.11","1.88","4.7","2036"
"Chris Sale","White Sox","9","5","0","19","19","132.2","11.53","1.63","0.81",".304","76.3 %","42.3 %","10.0 %","2.85","2.31","2.40","4.4","10603"
"Corey Kluber","Indians","5","11","0","21","21","148.0","10.09","1.89","0.67",".325","69.6 %","44.0 %","8.7 %","3.59","2.54","2.76","4.2","2429"
"Dallas Keuchel","Astros","12","4","0","20","20","144.1","7.92","2.12","0.44",".254","80.7 %","64.0 %","12.1 %","2.12","2.64","2.57","3.9","9434"
"Zack Greinke","Dodgers","9","2","0","19","19","131.1","8.02","1.44","0.48",".232","89.9 %","48.1 %","6.1 %","1.30","2.52","3.05","3.7","1943"
"Jake Arrieta","Cubs","11","6","0","20","20","134.2","9.42","2.07","0.60",".279","75.8 %","51.5 %","9.9 %","2.61","2.60","2.67","3.7","4153"
"Chris Archer","Rays","9","7","0","21","21","134.2","10.83","2.21","0.80",".284","77.1 %","45.6 %","11.2 %","2.67","2.62","2.57","3.6","6345"
"David Price","Tigers","9","3","0","20","20","140.0","8.61","1.74","0.71",".294","79.0 %","39.5 %","7.9 %","2.31","2.81","3.19","3.6","3184"
"Jacob deGrom","Mets","10","6","0","18","18","119.2","9.03","1.58","0.68",".251","79.1 %","42.7 %","8.0 %","2.18","2.61","2.95","3.2","10954"
"Sonny Gray","Athletics","10","4","0","20","20","136.2","7.57","2.30","0.53",".251","79.2 %","54.9 %","6.9 %","2.30","2.95","3.38","3.2","12768"
"Clay Buchholz","Red Sox","7","7","0","18","18","113.1","8.50","1.83","0.48",".329","70.4 %","48.3 %","5.9 %","3.26","2.60","3.16","3.1","3543"
"Michael Pineda","Yankees","9","7","0","19","19","118.0","8.92","1.14","0.99",".338","69.6 %","50.9 %","12.7 %","3.97","2.94","2.72","3.0","5372"
"Gerrit Cole","Pirates","13","4","0","19","19","124.2","8.81","2.02","0.51",".301","78.1 %","52.5 %","7.9 %","2.31","2.68","2.94","3.0","13125"
"Johnny Cueto","Reds","7","6","0","19","19","130.2","8.27","2.00","0.76",".234","76.4 %","42.5 %","8.5 %","2.62","3.12","3.42","2.9","6893"
"Lance Lynn","Cardinals","7","5","0","18","18","109.1","9.80","2.80","0.58",".315","78.3 %","40.6 %","6.4 %","2.80","2.68","3.24","2.9","2520"
"Jon Lester","Cubs","5","8","0","20","20","124.2","8.81","2.24","0.72",".309","71.9 %","48.9 %","9.8 %","3.32","2.99","3.09","2.8","4930"
"Tyson Ross","Padres","6","8","0","21","21","122.2","9.68","4.18","0.22",".340","72.8 %","63.3 %","5.5 %","3.45","2.75","3.05","2.8","7872"
"Jose Quintana","White Sox","5","9","0","20","20","129.0","7.88","1.88","0.70",".336","75.3 %","46.9 %","8.5 %","3.56","3.11","3.37","2.8","11423"
"A.J. Burnett","Pirates","8","4","0","20","20","131.0","7.56","2.34","0.41",".332","79.5 %","53.1 %","6.3 %","2.68","2.94","3.37","2.7","512"
"Carlos Carrasco","Indians","10","8","0","20","20","118.1","10.12","1.98","0.91",".341","69.9 %","49.8 %","12.4 %","4.26","2.89","2.72","2.7","6632"
"Cole Hamels","Phillies","6","7","0","20","20","128.2","9.58","2.73","0.84",".294","74.4 %","48.4 %","11.2 %","3.64","3.20","3.14","2.7","4972"
"Jeff Samardzija","White Sox","7","5","0","20","20","140.1","6.93","1.67","0.90",".300","70.6 %","40.7 %","8.6 %","3.91","3.53","3.85","2.5","3254"
"Jordan Zimmermann","Nationals","8","5","0","20","20","122.2","6.60","1.54","0.66",".315","73.7 %","39.6 %","6.3 %","3.30","3.16","3.85","2.5","4505"
"Madison Bumgarner","Giants","11","5","0","20","20","131.0","9.00","1.79","0.96",".293","79.8 %","39.4 %","10.4 %","3.16","3.19","3.22","2.5","5524"
"Francisco Liriano","Pirates","6","6","0","19","19","120.2","10.14","3.13","0.75",".251","76.8 %","54.6 %","13.5 %","2.91","2.98","2.76","2.5","3201"
"Felix Hernandez","Mariners","12","5","0","20","20","130.1","8.56","2.69","0.76",".265","80.9 %","56.9 %","12.9 %","2.69","3.25","3.06","2.4","4772"
"Shelby Miller","Braves","5","7","0","20","20","127.0","7.58","2.91","0.50",".265","78.7 %","49.2 %","5.9 %","2.27","3.16","3.74","2.4","10197"
"Scott Kazmir","Astros","6","5","0","19","19","116.2","8.02","2.78","0.54",".254","78.3 %","44.4 %","6.3 %","2.24","3.06","3.61","2.4","4897"
"Jason Hammel","Cubs","5","4","0","18","18","108.2","9.03","1.74","0.91",".257","72.9 %","37.8 %","9.6 %","2.82","3.06","3.22","2.3","4538"
"Kyle Hendricks","Cubs","4","5","0","19","19","110.2","7.56","1.63","0.81",".296","70.7 %","49.2 %","10.1 %","3.66","3.23","3.31","2.2","12049"
"John Lackey","Cardinals","9","5","0","20","20","131.1","6.44","2.19","0.69",".293","80.3 %","45.4 %","7.0 %","2.88","3.44","3.97","2.2","1507"
"Jesse Chavez","Athletics","5","10","0","17","17","103.0","7.43","2.45","0.70",".307","72.0 %","41.2 %","7.3 %","3.67","3.27","3.75","2.1","5448"
"Michael Wacha","Cardinals","11","3","0","18","18","112.1","7.53","2.08","0.72",".271","74.3 %","47.9 %","8.8 %","3.20","3.21","3.43","2.1","14078"
"Chris Heston","Giants","10","5","0","19","19","119.0","7.18","2.42","0.45",".293","72.9 %","56.8 %","8.0 %","3.18","3.18","3.40","2.0","10302"
"C.J. Wilson","Angels","8","7","0","20","20","128.0","7.52","3.02","0.77",".277","74.5 %","43.1 %","8.5 %","3.59","3.70","3.99","1.8","3580"
"Gio Gonzalez","Nationals","8","4","0","18","18","105.2","7.84","3.32","0.43",".339","72.1 %","58.1 %","7.2 %","3.83","3.16","3.45","1.8","7448"
"Colby Lewis","Rangers","10","4","0","20","20","126.1","6.84","1.78","1.07",".286","65.9 %","35.4 %","8.1 %","4.49","3.82","4.32","1.8","1259"
"Nathan Eovaldi","Yankees","9","2","0","19","19","103.2","6.51","2.52","0.69",".350","72.9 %","50.9 %","8.8 %","4.43","3.52","3.74","1.8","9132"
"Carlos Martinez","Cardinals","11","3","0","18","18","114.1","9.29","3.38","0.79",".289","86.5 %","55.6 %","13.7 %","2.36","3.34","3.10","1.8","11682"
"Yovani Gallardo","Rangers","7","9","0","21","21","121.1","6.16","3.41","0.59",".280","74.6 %","50.1 %","6.8 %","3.19","3.69","4.18","1.8","8173"
"Matt Harvey","Mets","9","7","0","19","19","125.1","8.33","2.23","1.15",".265","79.9 %","44.4 %","12.1 %","3.16","3.69","3.50","1.7","11713"
"Ubaldo Jimenez","Orioles","7","6","0","19","19","106.1","8.89","2.96","1.02",".321","76.2 %","45.6 %","13.3 %","3.81","3.66","3.37","1.7","3374"
"Alex Wood","Braves","7","6","0","19","19","112.0","6.67","2.73","0.64",".341","74.8 %","46.0 %","7.4 %","3.78","3.47","3.89","1.7","13781"
"Garrett Richards","Angels","10","7","0","18","18","116.1","6.81","3.02","0.70",".261","73.8 %","53.2 %","8.7 %","3.25","3.64","3.87","1.7","9784"
"Mark Buehrle","Blue Jays","11","5","0","19","19","128.1","4.49","1.40","0.84",".276","74.5 %","49.2 %","9.2 %","3.23","3.80","4.00","1.7","225"
"Danny Salazar","Indians","8","5","0","17","17","104.2","10.66","2.49","1.20",".292","70.9 %","45.1 %","14.6 %","3.78","3.44","2.98","1.7","5867"
"Bartolo Colon","Mets","9","9","0","19","19","117.1","7.06","1.07","1.15",".310","66.1 %","40.4 %","10.1 %","4.60","3.59","3.70","1.7","375"
"Collin McHugh","Astros","11","5","0","20","20","127.0","7.02","2.06","0.99",".310","72.7 %","46.6 %","10.4 %","4.25","3.81","3.86","1.7","7531"
"Edinson Volquez","Royals","9","5","0","20","20","120.0","6.83","3.15","0.60",".279","73.7 %","48.5 %","7.1 %","3.15","3.59","4.02","1.6","3990"
"Hector Santiago","Angels","7","4","0","19","19","114.2","8.56","2.98","1.10",".261","87.1 %","31.0 %","8.7 %","2.51","3.87","4.25","1.6","4026"
"Mike Fiers","Brewers","5","8","0","20","20","112.0","9.32","3.38","1.13",".319","74.8 %","37.7 %","10.9 %","3.94","3.88","3.86","1.5","7754"
"J.A. Happ","Mariners","4","5","0","19","19","104.1","6.73","2.67","0.86",".316","71.8 %","41.8 %","8.9 %","4.31","3.76","4.01","1.5","7410"
"Nate Karns","Rays","5","5","0","19","19","109.0","8.50","3.30","0.91",".283","77.1 %","43.5 %","10.2 %","3.47","3.70","3.77","1.4","12638"
"Wei-Yin Chen","Orioles","4","6","0","18","18","116.1","7.19","1.93","1.32",".265","82.4 %","40.1 %","12.2 %","2.86","4.09","3.85","1.4","13071"
"Drew Hutchison","Blue Jays","9","2","0","20","20","108.0","8.17","2.83","1.08",".351","65.9 %","40.2 %","11.2 %","5.42","3.98","3.91","1.4","10732"
"Mike Leake","Reds","8","5","0","20","20","128.2","6.09","2.31","0.98",".269","73.7 %","52.0 %","14.1 %","3.78","3.94","3.60","1.4","10130"
"Chris Tillman","Orioles","7","7","0","19","19","105.0","6.69","3.60","0.86",".303","69.1 %","41.7 %","8.1 %","4.71","4.10","4.50","1.3","5279"
"Anthony DeSclafani","Reds","5","7","0","19","19","113.0","6.61","3.42","0.80",".292","69.9 %","43.8 %","8.2 %","3.98","3.94","4.30","1.3","13050"
"Brett Anderson","Dodgers","5","5","0","19","19","110.2","6.42","2.44","0.73",".322","77.7 %","66.8 %","13.6 %","3.33","3.56","3.34","1.3","8223"
"Andrew Cashner","Padres","4","10","0","19","19","116.2","7.87","2.70","1.00",".307","62.7 %","47.7 %","11.6 %","3.93","3.77","3.66","1.3","8782"
"Kyle Gibson","Twins","8","7","0","19","19","118.2","6.37","2.81","0.83",".284","77.8 %","54.6 %","13.3 %","3.19","3.89","3.66","1.3","10123"
"Alfredo Simon","Tigers","9","6","0","19","19","111.0","6.65","3.16","0.89",".317","68.4 %","42.1 %","8.9 %","4.46","3.96","4.21","1.2","2155"
"Wade Miley","Red Sox","8","8","0","20","20","114.1","6.53","3.46","0.79",".293","70.3 %","48.9 %","8.3 %","4.33","3.96","4.30","1.2","8779"
"Aaron Harang","Phillies","4","11","0","17","17","106.0","6.20","2.29","1.02",".280","68.8 %","35.7 %","8.1 %","4.08","4.06","4.55","1.2","1451"
"Jeff Locke","Pirates","5","6","0","19","19","108.1","6.90","3.41","0.58",".315","68.2 %","51.5 %","8.6 %","4.15","3.64","3.85","1.2","2929"
"Jimmy Nelson","Brewers","8","9","0","20","20","122.1","7.50","3.24","0.96",".291","71.2 %","49.9 %","12.1 %","3.97","4.08","3.92","1.1","10547"
"Trevor Bauer","Indians","8","7","0","19","19","115.1","9.05","3.67","1.33",".267","74.7 %","38.7 %","12.3 %","4.29","4.24","4.00","1.0","12703"
"Anibal Sanchez","Tigers","10","7","0","20","20","131.1","7.88","2.81","1.44",".269","70.1 %","39.7 %","14.2 %","4.59","4.35","3.84","1.0","3284"
"Jeremy Hellickson","Diamondbacks","6","6","0","18","18","101.2","7.61","2.39","1.24",".303","69.6 %","42.7 %","12.0 %","4.87","3.99","3.80","1.0","4371"
"John Danks","White Sox","5","8","0","18","18","104.1","6.30","2.50","1.21",".313","66.7 %","35.1 %","9.7 %","4.66","4.30","4.49","1.0","6329"
"James Shields","Padres","8","3","0","21","21","126.2","10.23","3.34","1.42",".314","79.5 %","45.2 %","17.9 %","3.77","4.12","3.30","0.9","7059"
"Chase Anderson","Diamondbacks","4","4","0","18","18","105.0","5.74","2.23","1.03",".294","72.5 %","43.7 %","10.9 %","4.37","4.22","4.19","0.8","6895"
"Taijuan Walker","Mariners","7","7","0","19","19","106.2","8.77","2.28","1.52",".308","67.6 %","37.5 %","14.0 %","5.06","4.26","3.76","0.8","11836"
"Mike Pelfrey","Twins","5","7","0","18","18","105.0","4.29","2.83","0.60",".323","73.6 %","54.4 %","8.0 %","3.94","4.15","4.45","0.8","5203"
"Phil Hughes","Twins","9","6","0","20","20","130.2","5.17","0.83","1.58",".291","80.8 %","34.3 %","12.7 %","3.93","4.50","4.15","0.8","7450"
"Julio Teheran","Braves","6","5","0","20","20","120.1","7.63","3.37","1.20",".307","68.6 %","39.9 %","13.6 %","4.49","4.37","4.01","0.7","6797"
"CC Sabathia","Yankees","4","8","0","19","19","112.0","7.55","1.93","1.69",".328","69.9 %","45.0 %","17.8 %","5.38","4.55","3.58","0.7","404"
"Jon Niese","Mets","5","9","0","19","19","115.1","5.77","2.73","1.01",".294","72.2 %","55.0 %","13.8 %","3.75","4.31","3.98","0.5","4424"
"Dan Haren","Marlins","7","6","0","20","20","123.0","6.15","1.68","1.46",".251","81.6 %","31.5 %","10.9 %","3.51","4.54","4.51","0.5","1757"
"Rick Porcello","Red Sox","5","10","0","19","19","112.2","7.19","2.08","1.44",".321","66.3 %","43.2 %","14.6 %","5.51","4.42","3.87","0.5","2717"
"Rubby de la Rosa","Diamondbacks","8","5","0","20","20","125.1","7.61","2.59","1.58",".285","74.1 %","51.6 %","20.2 %","4.52","4.56","3.49","0.4","3862"
"R.A. Dickey","Blue Jays","4","10","0","20","20","129.0","5.58","3.21","1.19",".263","71.6 %","43.9 %","11.7 %","4.53","4.82","4.67","0.4","1245"
"Nick Martinez","Rangers","5","5","0","17","17","101.0","5.26","3.21","0.98",".291","73.8 %","43.9 %","9.7 %","3.92","4.77","4.91","0.4","12730"
"Miguel Gonzalez","Orioles","9","6","0","18","18","106.0","6.79","2.72","1.53",".264","79.4 %","39.3 %","15.8 %","3.99","4.84","4.13","0.3","7024"
"Tom Koehler","Marlins","8","6","0","18","18","108.0","6.17","3.25","1.08",".250","75.1 %","47.1 %","11.2 %","3.25","4.42","4.36","0.3","6570"
"Jeremy Guthrie","Royals","7","6","0","19","19","107.2","4.68","2.59","1.17",".324","70.0 %","35.4 %","9.9 %","5.35","4.72","4.85","0.2","2072"
"Matt Garza","Brewers","4","10","0","17","17","100.0","6.39","2.97","1.53",".326","66.1 %","45.2 %","15.7 %","5.49","4.87","4.17","0.2","3340"
"Kyle Lohse","Brewers","5","11","0","20","20","113.0","6.61","2.07","1.83",".320","65.3 %","37.3 %","16.1 %","6.29","5.01","4.13","0.0","739"
"Kyle Kendrick","Rockies","3","11","0","19","19","107.1","4.70","2.60","2.01",".297","69.2 %","38.8 %","16.9 %","6.12","5.99","4.93","-0.8","6230"
